ambit,teleconnexio,fase_a,fase_b,variable,n_a,n_b,mean_a,mean_b,diff_b_minus_a,cohens_d,mannwhitney_p,abs_diff,abs_d,subregio,estacio,periode,mannwhitney_q_fdr
subregio_estacio,wemo,Negative,Positive,vent_u10,33,43,-0.35263913188484847,1.4398125513953488,1.7924516832801973,3.277293972903619,2.38190350292355e-13,1.7924516832801973,3.277293972903619,Golf_Lleo,Winter,,8.720189095448929e-12
subregio_estacio,wemo,Negative,Positive,vent_u10,33,43,0.0848649119181818,2.5193234604651162,2.4344585485469343,3.2201645884068317,7.598977465774341e-13,2.4344585485469343,3.2201645884068317,Catalunya_Balears,Winter,,2.4869380797079663e-11
subregio_estacio,wemo,Negative,Positive,vent_u10,33,43,0.20646614309090908,3.6702317046511626,3.4637655615602534,3.1828064391358155,5.59025352328823e-13,3.4637655615602534,3.1828064391358155,Mediterrani_Central_Occidental,Winter,,1.916658350841679e-11
subregio_periode,wemo,Negative,Positive,vent_u10,59,31,-0.1964236802966102,2.1769610390322587,2.373384719328869,3.053309347124403,2.4924299596397967e-13,2.373384719328869,3.053309347124403,Catalunya_Balears,,2011-2020,8.825653627576985e-12
subregio_periode,wemo,Negative,Positive,vent_u10,59,31,0.3299256027838983,3.2733098322580654,2.9433842294741672,3.0486839123625344,3.6177670189376593e-14,2.9433842294741672,3.0486839123625344,Mediterrani_Central_Occidental,,2011-2020,1.6279951585219468e-12
subregio_estacio,wemo,Negative,Positive,velocitat_vent,33,43,1.6734614287878788,4.374723527906976,2.7012620991190976,2.9702304408549334,6.519091312892767e-13,2.7012620991190976,2.9702304408549334,Mediterrani_Central_Occidental,Winter,,2.1867734045927993e-11
subregio_periode,wemo,Negative,Positive,velocitat_vent,59,31,1.4460972444067797,3.8532435258064517,2.407146281399672,2.9350181698934095,1.5978142689956163e-13,2.407146281399672,2.9350181698934095,Mediterrani_Central_Occidental,,2011-2020,6.054875124614967e-12
subregio_estacio,wemo,Negative,Positive,vent_u10,48,34,-0.14980992277083335,1.496081962352941,1.6458918851237745,2.3216412045544343,2.4280721697057305e-12,1.6458918851237745,2.3216412045544343,Catalunya_Balears,Spring,,7.184432721321065e-11
subregio_periode,wemo,Negative,Positive,velocitat_vent,59,31,0.9616723650847457,2.8343773329032262,1.8727049678184806,2.2604268007274055,2.5183150727197587e-10,1.8727049678184806,2.2604268007274055,Catalunya_Balears,,2011-2020,5.444026101011392e-09
subregio_estacio,wemo,Negative,Positive,vent_u10,48,34,0.33652532419270836,2.472359735588235,2.135834411395527,2.24552255434261,3.879496141157771e-12,2.135834411395527,2.24552255434261,Mediterrani_Central_Occidental,Spring,,1.1172948886534379e-10
subregio_estacio,wemo,Negative,Positive,vent_u10,46,34,-0.014262296621739138,2.2919560100000003,2.3062183066217394,2.227275181535223,3.294223960436289e-11,2.3062183066217394,2.227275181535223,Mediterrani_Central_Occidental,Autumn,,8.178762936255614e-10
estacio,wemo,Negative,Positive,vent_u10,132,172,0.029633763015151533,2.449618877877907,2.4199851148627554,2.1953596536911117,4.530301375047567e-41,2.4199851148627554,2.1953596536911117,,Winter,,1.397921567157535e-38
subregio_periode,wemo,Negative,Positive,vent_u10,30,47,-0.20401526507333337,1.1133790148297873,1.3173942799031206,2.1642771371173626,3.4086767291556774e-11,1.3173942799031206,2.1642771371173626,Golf_Lleo,,1991-2000,8.366751971563935e-10
subregio_estacio,wemo,Negative,Positive,vent_u10,46,34,-0.3277405552391305,0.8714817307058823,1.1992222859450128,2.1058272975236476,1.9377122547388164e-11,1.1992222859450128,2.1058272975236476,Golf_Lleo,Autumn,,5.104217646629078e-10
subregio_estacio,nao,Negative,Positive,pressio_nivell_mar,28,69,1016.1051071428573,1023.2379607246376,7.132853581780296,2.094490842674003,2.4656399437131312e-11,7.132853581780296,2.094490842674003,Llevant_Iberic,Winter,,6.34021699811948e-10
